Question,Query
Kadiyala chakradhar,"SELECT *
FROM MASTER
WHERE Name LIKE '%Kadiyala chakradhar%';"
Sanjay,"SELECT
    Name, Registration, DOB, Gender, Department, Section,
    Specialization, CGPA, Active Backlogs, History Arrears, Academic Gap,
    Diploma-Percentage, Diploma-Specialization, `12-Percentage`, `10th-Percentage`,
    Aadhar, PAN, City, `City Pincode`, District, State, `Mobile-1`, Email
FROM
    MASTER
WHERE
    Name LIKE '%Sanjay%'"
Sanjay Kumar Reddy,"```
SELECT *
FROM MASTER
WHERE Name LIKE '%Sanjay Kumar Reddy%';
```"
Sanjay Kumar Reddy,"```
SELECT *
FROM MASTER
WHERE Name LIKE '%Sanjay Kumar Reddy%';
```"
Sanjay Kumar Reddy,"SELECT *
FROM MASTER
WHERE Name LIKE '%Sanjay Kumar Reddy%';"
Sanjay Kumar Reddy,"SELECT Registration, CGPA, Section, Department
FROM MASTER
WHERE Name LIKE '%Sanjay Kumar Reddy%';"
Sanjay Kumar Reddy,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE ""%Sanjay Kumar Reddy%"";"
Gowthami,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Gowthami%';"
Kavya,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%Kavya%';"
Kavyasri,"SELECT Name, Registration, SECTION, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Kavyasri%';"
Kalyan,"SELECT Name, Registration , SECTION, CGPA , Mobile-1
FROM MASTER
WHERE Name LIKE '%Kalyan%';"
Kalyan,"SELECT
    Name,
    Registration,
    Section,
    CGPA,
    ""Mobile-1""
FROM
    MASTER
WHERE
    Name LIKE '%Kalyan%'"
Kavya,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Kavya%';"
Gayathri,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Gayathri%';"
Sanjay,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%Sanjay%'"
Sanjay,"SELECT Name, Registration, SECTION, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Sanjay%';"
Jathin,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%Jathin%';"
Kadiyala chakradhar,"```
SELECT
    Name,
    Registration,
    Section,
    CGPA,
    Mobile-1
FROM
    MASTER
WHERE
    Name LIKE '%Kadiyala chakradhar%'
```"
Kadiyala chakradhar,"SELECT Name,Registration,Section,CGPA,Mobile-1 FROM MASTER WHERE Name LIKE '%Kadiyala%'"
Kadiyala chakradhar,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%Kadiyala chakradhar%';"
Kadiyala chakradhar,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%Kadiyala chakradhar%';"
Kadiyala chakradhar,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%Kadiyala chakradhar%';"
chakradhar,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%chakradhar%';"
chakradhar,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE ""%chakradhar%"";"
santosh,"SELECT 
    Name, 
    Registration, 
    Section, 
    CGPA, 
    Mobile-1
FROM 
    MASTER
WHERE 
    Name LIKE '%santosh%'"
santosh,"SELECT Name, Registration, Section, CGPA, `Mobile-1`
FROM MASTER
WHERE Name LIKE '%santosh%';"
vinay,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Name LIKE '%vinay%';"
vinay,"SELECT Name, Registration, Section, CGPA, Mobile-1
FROM MASTER
WHERE Specialization = 'Data Science'
AND Section IN ('UG-A', 'UG-B', 'UG-C');"
vinay,"SELECT
Name,
Registration,
SECTION,
CGPA
FROM
MASTER
WHERE
Name LIKE '%vinay%';"
Bhavani,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE Name LIKE '%Bhavani%';"
Get the List of the Students with name Kavya,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE Name LIKE '%Kavya%';"
Display Entire DB of only 1 to 5 Coloumns,"SELECT Name, Registration, Department, Specialization, CGPA
FROM MASTER
LIMIT 5;"
Display Entire DB of only 1 to 5 Coloumns also upto 20 Rows,"SELECT
    Registration,
    Name,
    Department,
    Section,
    CGPA
FROM
    MASTER
LIMIT 20;"
Ranks ,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE CGPA >= 9;"
Ranks from 1 to 20,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE CGPA BETWEEN 9.0 AND 10.0
ORDER BY CGPA DESC
LIMIT 20;"
Ranks from 1 to 30,"```
SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE CGPA BETWEEN 9 AND 10
ORDER BY CGPA DESC
LIMIT 30;
```"
Ranks from 1 to 30,"```
SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE CGPA BETWEEN 9 AND 10
ORDER BY CGPA DESC
LIMIT 30;
```"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA >= 9
ORDER BY CGPA DESC
LIMIT 30;"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
Ranks from 1 to 30,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;


SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE Active_Backlogs > 0;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Academic_Gap > 1;

SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE UG_Specialization = 'Data Science';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE City = 'Hyderabad' AND State = 'Telangana';

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;

SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE DOB > '1995-01-01';

SELECT *
FROM MASTER
WHERE Name LIKE '%John%';"
